Time(s), State, X, Y, Z, VelMag, DistToSphereCenter
0.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.70, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.80, 0, 22.00, 0.00, 0.00, 0.00, 54.63
0.90, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.70, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.80, 0, 22.00, 0.00, 0.00, 0.00, 54.63
1.90, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.70, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.80, 0, 22.00, 0.00, 0.00, 0.00, 54.63
2.90, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.70, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.80, 0, 22.00, 0.00, 0.00, 0.00, 54.63
3.90, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.00, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.10, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.20, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.30, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.40, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.50, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.60, 0, 22.00, 0.00, 0.00, 0.00, 54.63
4.70, 1, 22.00, 0.00, 0.00, 0.00, 54.63
4.80, 1, 21.97, 0.00, 0.04, 1.10, 54.57
4.90, 1, 21.89, 0.00, 0.18, 2.07, 54.41
5.00, 1, 21.81, 0.00, 0.37, 1.93, 54.21
5.10, 1, 21.73, 0.00, 0.55, 2.07, 54.01
5.20, 1, 21.65, 0.00, 0.73, 1.93, 53.81
5.30, 1, 21.57, 0.00, 0.92, 2.07, 53.61
